PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived,Name,Ticket,Cabin
1,2,female,59.20231498571705,3,0,12.692139958815007,C,1,"Rodriguez, Mrs. Mary",349434,
2,3,female,20.519991077953264,0,0,20.26469549516678,S,1,"Rodriguez, Mrs. Ethel",280926,
3,3,male,,0,0,12.77303691182954,C,0,"Williams, Mr. James",710441,
4,3,female,33.190096125690886,0,0,2.1747388130109373,S,0,"Johnson, Miss. Mary",A/27533,D80
5,1,male,47.22437805158317,0,2,2.5118537347212024,S,0,"Rodriguez, Mr. Thomas",A/56947,
6,1,male,,0,1,17.068097885472568,S,1,"Johnson, Mr. Henry",A/68597,
7,1,female,29.44805808692073,1,3,0.9425985984554204,S,1,"Brown, Miss. Anna",A/75464,
8,3,male,,2,0,41.065357857603956,S,1,"Garcia, Mr. John",A/66880,B189
9,3,male,,0,2,10.076594786330924,S,0,"Williams, Mr. William",A/52460,
10,3,male,19.511984823470513,0,0,596.8772993332686,S,0,"Williams, Mr. George",580001,
11,1,male,,1,0,194.3186817464166,C,1,"Davis, Mr. Joseph",A/35957,
12,3,male,30.911494635158324,1,0,9.798811638076298,S,1,"Davis, Mr. William",484838,
13,3,male,23.88549828163048,0,0,10.723049644649807,S,0,"Wilson, Mr. Frank",147046,
14,1,male,31.585524282108718,0,0,40.233412889480014,C,0,"Rodriguez, Mr. Henry",109759,
15,1,female,10.140231946584251,0,0,94.04817320508243,S,1,"Jones, Miss. Anna",550973,G19
16,1,female,15.397403460850878,1,0,1.7063645804551955,S,1,"Davis, Mrs. Ruth",A/18507,
17,2,male,45.80579471122196,1,0,1.4281065008654152,S,0,"Brown, Mr. Frank",A/17835,
18,3,male,19.80348009440046,0,0,5.775115367905106,Q,0,"Rodriguez, Mr. John",900019,
19,2,male,14.343246242452846,0,0,24.514998154153943,C,1,"Johnson, Mr. Charles",676209,A146
20,2,male,36.513138535382005,1,0,22.1148274437156,C,0,"Johnson, Mr. Thomas",237912,
21,3,male,45.59985816528196,1,1,43.97959366423623,S,1,"Miller, Mr. George",A/41440,
22,1,male,39.065346349310936,3,1,2.8874188338441527,C,1,"Smith, Mr. Thomas",A/12389,
23,2,male,42.94466760128143,1,0,0.7562580420615506,S,0,"Brown, Mr. John",485327,G135
24,2,male,18.404868760027547,0,0,34.110901809782135,S,1,"Rodriguez, Mr. George",A/49023,
25,3,male,9.09465066561419,0,0,4.5094016480572305,S,0,"Davis, Mr. Joseph",A/98993,
26,3,male,50.01867112737681,0,1,1.080922196826776,S,0,"Jones, Mr. Thomas",842319,
27,1,female,24.482482256210098,0,0,14.498953800752904,S,1,"Rodriguez, Miss. Elizabeth",427507,
28,3,female,25.488337769629336,0,0,31.557485711320535,S,1,"Jones, Miss. Ruth",A/55215,
29,3,male,47.59471798588681,1,0,10.522664360543681,S,0,"Wilson, Mr. William",941908,D18
30,1,female,36.78722013160924,0,0,7.032779021373016,S,1,"Garcia, Miss. Elizabeth",A/69768,D38
31,3,male,35.38242880914251,1,0,10.061993654459913,S,0,"Garcia, Mr. William",203591,
32,1,female,,0,1,7.809185625560614,S,1,"Smith, Miss. Helen",A/36639,
33,1,female,19.990744774678,2,0,2.4165561924190286,C,1,"Davis, Miss. Elizabeth",A/38924,
34,3,male,41.98976179313732,0,0,5.167469899594959,S,1,"Williams, Mr. Thomas",A/40104,D66
35,3,male,29.798183748559183,0,1,22.772095071653002,C,0,"Davis, Mr. James",924026,
36,3,male,32.7602919040856,0,1,17.921735494554994,S,0,"Williams, Mr. Charles",783550,
37,2,male,,0,0,14.90462797629225,S,0,"Williams, Mr. Thomas",A/83177,B158
38,1,male,36.109700588054736,1,0,3.69072096256242,S,1,"Johnson, Mr. Joseph",A/80592,
39,3,male,36.53614510669486,1,0,9.798175603493158,S,0,"Miller, Mr. John",641529,
40,2,male,44.01510272233723,0,2,0.8936169566638559,C,1,"Smith, Mr. Thomas",305320,
41,1,female,23.890661786399605,0,0,15.092108580696205,S,1,"Williams, Mrs. Marie",705484,
42,3,female,17.251064657253913,0,2,67.66907286862364,,0,"Smith, Miss. Margaret",989340,
43,1,male,,0,0,2.077242808544946,C,1,"Williams, Mr. Henry",935599,G57
44,3,male,,2,0,6.03084294002823,S,1,"Brown, Mr. Robert",953575,
45,2,male,57.78689981916451,1,0,18.082201907216145,S,0,"Brown, Mr. John",A/12016,
46,3,male,,1,0,54.78471114441786,S,0,"Jones, Mr. John",A/56309,
47,2,female,25.90244926979919,1,0,7.114468023497788,S,1,"Davis, Miss. Elizabeth",115748,
48,3,male,25.12461380155511,0,0,5.308448483430953,S,0,"Brown, Mr. Thomas",636114,
49,3,male,33.30369376932741,2,0,1.1471633340519958,S,0,"Brown, Mr. Joseph",A/44129,
50,1,male,,1,3,13.792510882359599,Q,0,"Miller, Mr. James",A/33490,G104
51,3,male,41.04662883703644,1,0,141.24433290180238,S,0,"Williams, Mr. Charles",A/85017,
52,3,female,20.836915860034864,1,0,16.993487023056247,S,0,"Davis, Miss. Emma",A/93106,G75
53,3,female,,0,0,11.86111289273351,S,1,"Jones, Miss. Ruth",A/64638,
54,3,male,,1,0,17.930421096433673,Q,1,"Miller, Mr. Joseph",A/39894,
55,3,male,,0,0,12.021414430392143,C,0,"Johnson, Mr. Robert",486868,
56,3,male,51.5028380642799,0,0,4.592308107226498,S,0,"Johnson, Mr. James",659614,
57,1,female,35.87364932293552,0,2,32.71834398712324,S,1,"Miller, Miss. Margaret",A/35838,
58,1,female,,3,0,15.97322411755785,S,1,"Davis, Miss. Anna",971643,
59,1,male,38.28033776134378,1,0,12.442722356551755,S,1,"Davis, Mr. John",791652,D50
60,2,male,,1,0,3.7793829942209136,S,1,"Garcia, Mr. James",351749,
61,2,female,31.534301821851898,1,0,58.21886937882485,S,1,"Garcia, Miss. Ruth",998342,
62,2,male,10.844352728618148,0,0,27.048817646191942,S,1,"Wilson, Mr. Henry",673095,
63,3,female,34.59563132453698,2,1,6.274507495465782,Q,0,"Miller, Miss. Anna",862449,
64,2,male,,0,1,40.535973904744196,S,1,"Jones, Mr. George",914957,E148
65,2,male,21.599366455503404,0,0,6.705412217324409,Q,0,"Williams, Mr. Robert",266052,C23
66,3,male,37.20909626257131,0,0,4.766421477493856,S,0,"Garcia, Mr. Thomas",108078,
67,1,male,46.335963000070905,1,0,4.895695056328523,S,1,"Garcia, Mr. George",A/99521,
68,3,male,29.29780207430486,1,0,1.4545807813059028,S,0,"Garcia, Mr. Robert",A/89810,
69,1,female,33.3236621763855,0,0,21.45270739954014,S,1,"Rodriguez, Miss. Margaret",A/36398,
70,3,male,,0,0,1.3534083927003167,S,0,"Rodriguez, Mr. William",475855,
71,3,male,32.370544512839956,1,0,2.789514042873871,S,0,"Johnson, Mr. Charles",A/26254,C128
72,1,male,65.42356359852553,0,0,1.0093377160687038,S,1,"Smith, Mr. Robert",325226,
73,1,male,36.91713503884162,1,0,10.987039695357621,S,1,"Rodriguez, Mr. Charles",A/33580,E134
74,3,male,4.349321371818551,3,0,10.17176197914323,C,0,"Brown, Mr. Henry",696432,B36
75,3,male,39.546782695463456,0,0,8.231469428845461,S,0,"Miller, Mr. Henry",A/60665,B53
76,3,female,34.33621738835889,0,0,3.486529282247626,S,1,"Miller, Miss. Mary",252110,
77,3,male,,1,1,2.9841635680698313,S,0,"Johnson, Mr. Henry",589562,
78,1,male,,1,0,21.26885585459418,Q,1,"Johnson, Mr. Frank",A/11753,
79,2,male,27.061616224227166,0,0,6.292369330813959,S,0,"Garcia, Mr. Charles",955243,
80,1,female,,2,0,17.80768286567565,S,1,"Rodriguez, Mrs. Florence",216737,
81,3,female,26.073674397995646,0,1,4.211006011085271,S,0,"Miller, Mrs. Florence",507096,C122
82,3,female,17.0927136410698,0,0,15.139016587744127,S,0,"Davis, Mrs. Florence",428761,C31
83,2,male,20.872671702733882,1,0,58.20281054829788,Q,0,"Miller, Mr. Frank",510092,D153
84,1,male,37.240097661888534,1,0,24.616057169534947,S,1,"Jones, Mr. John",A/83802,A75
85,2,male,52.37866306091969,0,0,7.426861929291316,S,0,"Williams, Mr. Robert",878610,
86,2,male,34.525401417521735,1,2,16.58732358904034,S,1,"Wilson, Mr. Joseph",309485,
87,3,male,12.257637131507419,0,0,9.12667816053826,S,0,"Jones, Mr. James",519814,B110
88,3,male,35.22443735508197,0,1,12.29824072466724,Q,0,"Williams, Mr. Joseph",A/79852,
89,3,male,,0,2,8.242195374847233,S,0,"Johnson, Mr. Robert",A/19695,
90,3,male,,1,2,10.002126825572136,S,0,"Garcia, Mr. Frank",A/70635,
91,1,female,27.123759666579154,0,0,15.713371278708557,S,1,"Garcia, Mrs. Helen",753009,
92,3,male,29.20563472620876,0,0,3.698656185241757,S,0,"Davis, Mr. Joseph",A/33940,
93,3,male,18.01142361684864,0,0,3.6000416239804935,C,1,"Miller, Mr. James",A/53481,
94,3,female,38.075926073814024,1,0,2.3019323799799443,S,0,"Williams, Miss. Elizabeth",538055,
95,3,male,27.306725919491058,0,0,1.7854574815791089,S,0,"Brown, Mr. John",A/35538,B166
96,3,female,34.87345421469839,1,0,2.8271263432171247,C,1,"Brown, Mrs. Marie",811601,
97,3,male,16.5751095107706,0,0,14.751650991734326,S,0,"Williams, Mr. Henry",160481,G81
98,2,male,,0,0,4.173082541923079,S,1,"Miller, Mr. Frank",A/73328,
